"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"13PQ00","http://www.bijdebron.nl/image/25897.schoolgids2017-2018definitief-website.pdf","Gelderland",40862,"13PQ","Basisschool met de Bijbel bij De Bron","Papiermakerstraat","18","3881 BL","PUTTEN",273,"PUTTEN","Protestants-Christelijk",341353686,"www.bijdebron.nl","Papiermakerstraat","18","3881 BL","PUTTEN",28,"Harderwijk",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"13PS00","http://obsdewoldstroom.nl/contentfiles/13PS00/Document/28303/28302786.pdf","Drenthe",41629,"13PS","Openbare Basisschool De Woldstroom","Woldkade","1-A","7942 AH","MEPPEL",119,"MEPPEL","Openbaar",522252124,"www.obsdewoldstroom.nl","Woldkade","1-A","7942 AH","MEPPEL",15,"Meppel",5,"Zuid- en Midden-Drenthe",9,"Zuidwest-Drenthe",9,"Zuidwest-Drenthe",5,"Zwolle-Meppel en omstreken",9,"Zuid-West Drenthe"
"13PV00","https://meerwerf.nl/upload/wysiwyg/www/bestanden/Onderwijsgids-po-2015-2016-v2-definitief.pdf","Noord-Holland",41858,"13PV","Prinses Margriet School","Weth W de Boerstraat","8","1788 AT","JULIANADORP",400,"DEN HELDER","Openbaar",223690081,"www.meerwerf.nl","Weth W de Boerstraat","8","1788 AT","JULIANADORP",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"13QB00","https://storage.googleapis.com/wzukusers/user-18927496/documents/59b277223072dyQI6vKC/jg29nr01.pdf","Drenthe",11711,"13QB","OBS De Poolster","Zevenhuisterweg","3","9311 VA","NIEUW-RODEN",1699,"NOORDENVELD","Openbaar",505017772,"www.obsdepoolster.com","Postbus","131","9300 AC","RODEN",1,"Groningen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",1,"Groningen en omstreken",7,"Noord- en Midden Drenthe"
"13QD00","http://deblauweloper.nl/deblauweloper/media/Kleine-Grote-Beer/Bestanden/Schoolgids_2017-2018.pdf","Noord-Holland",41364,"13QD","De Grote en de Kleine Beer","Plutolaan","2-A","1702 CB","HEERHUGOWAARD",398,"HEERHUGOWAARD","Openbaar",725714872,"www.kgbhhw.nl","Plutolaan","2-A","1702 CB","HEERHUGOWAARD",38,"Alkmaar",19,"Noord-Holland-Noord",24,"Noord-Kennemerland",19,"Alkmaar en omgeving",14,"Noord-Noord-Holland",24,"Noord-Kennemerland"
"13QE00",NA,"Gelderland",41617,"13QE","Daalhuizen","Enkweg","10-A","6881 LZ","VELP GLD",275,"RHEDEN","Openbaar",263619346,"                                                                                ","Enkweg","10-A","6881 LZ","VELP GLD",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"13QJ00","http://www.deopslach.nl/wp-content/uploads/sites/8/2015/08/Schoolgids-2017-2018.pdf","Friesland",41361,"13QJ","OBS De Opslach","IJsbaanweg","4","8801 ER","FRANEKER",70,"FRANEKERADEEL","Openbaar",517395110,"www.deopslach.nl","Postbus","246","8800 AE","FRANEKER",10,"Leeuwarden",4,"Fryslân",4,"Friesland-Noord",4,"Noord-Friesland",3,"Friesland",4,"Friesland Noord"
"13QL00","http://www.beelen-tolbert.nl/Portals/0/Documenten/schoolgids%2016-18%20klein.pdf","Groningen",41846,"13QL","Basisschool De Beelen","Beelen","3","9356 CZ","TOLBERT",22,"LEEK","Openbaar",594513923,"www.beelen-tolbert.nl","Postbus","100","9356 ZJ","TOLBERT",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"13QO00","http://obsdebraskorf.nl/contentfiles/braskorf/Document/29576/29575853.pdf","Groningen",41780,"13QO","Openbare Basisschool de Braskorf","Cornelis Jetseslaan","13","9646 DC","VEENDAM",47,"VEENDAM","Openbaar",598613790,"www.obsdebraskorf.nl","Postbus","296","9640 AG","VEENDAM",4,"Veendam",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"13QP00","http://www.gielguordemantgum.nl/assets/Uploads/Docs/Subsite-27/SCHOOLGIDS-ONDERWIJSTEAM-4-17-18-def.pdf","Friesland",41856,"13QP","Basisschool de Gielguorde","Master Jansenstrjitte","10","9022 AN","MANTGUM",140,"LITTENSERADIEL","Openbaar",582501220,"www.gielguordemantgum.nl","Master Jansenstrjitte","10","9022 AN","MANTGUM",10,"Leeuwarden",4,"Fryslân",5,"Zuidwest-Friesland",4,"Noord-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"13QS00",NA,"Gelderland",41566,"13QS","Kindcentrum het P@rk","Troelstralaan","45","6971 CN","BRUMMEN",213,"BRUMMEN","Openbaar",575561608,"www.kindcentrumhetpark.nl","Troelstralaan","45","6971 CN","BRUMMEN",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"13QU00","https://www.obs-debolster.nl/upload/266982e0-abbc-446d-b6d9-248ccbb0eca2.pdf","Friesland",41735,"13QU","De Bolster","De Kjellingen","17","9261 ZH","EASTERMAR",737,"TYTSJERKSTERADIEL","Openbaar",512471800,"www.obs-debolster.nl","De Kjellingen","17","9261 ZH","EASTERMAR",10,"Leeuwarden",4,"Fryslân",6,"Friesland-Oost",4,"Noord-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13QV00","http://vensterschool.net/a/658/762658-18.pdf","Friesland",41631,"13QV","Vensterschool Noordwolde","Mandehof","17","8391 BG","NOORDWOLDE FR",98,"WESTSTELLINGWERF","Openbaar",561430525,"www.vensterschool.net","Mandehof","17","8391 BG","NOORDWOLDE FR",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13RA00","http://www.bs-strijpdorp.nl/upload/5/files/saltoschool_-_strijpdorp_-_schoolgids_2017-2018_nieuw.pdf","Noord-Brabant",41248,"13RA","Salto basisschool Strijp Dorp","Apeldoornstraat","1","5651 EN","EINDHOVEN",772,"EINDHOVEN","Openbaar",402514103,"www.bs-strijpdorp.nl","Apeldoornstraat","1","5651 EN","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"13RD00",NA,"Noord-Holland",41421,"13RD","Basisschool De Geert Holle","Kerkebuurt","156","1647 MD","BERKHOUT",1598,"KOGGENLAND","Openbaar",229551357,"www.geertholle.nl","Kerkebuurt","156","1647 MD","BERKHOUT",40,"Hoorn",19,"Noord-Holland-Noord",22,"Westfriesland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",22,"West-Friesland"
"13RF00",NA,"Gelderland",41561,"13RF","Basisschool de Rietschoof","Zandstraat","14","4184 EE","OPIJNEN",304,"NEERIJNEN","Openbaar",418651512,"                                                                                ","Zandstraat","14","4184 EE","OPIJNEN",32,"Zaltbommel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",12,"Noord-Noord-Brabant",15,"Rivierenland"
"13RO00","http://www.bijzonderwijsnet.nl/upload/files/Mobiel/170711_schoolgids_bs_Mobiel_2017_-_2018.pdf","Noord-Holland",43864,"13RO","Mobiel","Reigersbos","313","1107 EZ","AMSTERDAM",363,"AMSTERDAM","Samenwerking PC, RK",206973735,"www.bsmobiel.nl","Reigersbos","313","1107 EZ","AMSTERDAM",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"13RQ00","https://www.pieterwijten.nl/images/Documenten/Schoolgids-Pieter-Wijten-2017-2018.pdf","Noord-Brabant",71008,"13RQ","RK Basisschool Pieter Wijten","Kastanjestraat","2","5143 CZ","WAALWIJK",867,"WAALWIJK","Rooms-Katholiek",416650211,"www.pieterwijten.nl","Kastanjestraat","2","5143 CZ","WAALWIJK",67,"Waalwijk",26,"Midden-Brabant",35,"Midden-Brabant",34,"Midden-Noord-Brabant",12,"Noord-Noord-Brabant",35,"Midden-Brabant"
"13SE00","http://zevenster.net/wp-content/uploads/2017/09/Schoolgids-de-Zevenster-2017-2018.pdf","Flevoland",30357,"13SE","Rooms Katholieke Basisschool de Zevenster","Saffier","1","3893 ER","ZEEWOLDE",50,"ZEEWOLDE","Rooms-Katholiek",365221953,"www.zevenster.net","Saffier","1","3893 ER","ZEEWOLDE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"13SJ00","http://mrkjdijkstraschool.nl/a/477/751477-35.pdf","Friesland",41631,"13SJ","Openbare Basisschool MST. K.J. Dijkstra","Hoofdweg","31","8424 PJ","ELSLOO FR",85,"OOSTSTELLINGWERF","Openbaar",561421250,"www.mrkjdijkstraschool.nl","Hoofdweg","31","8424 PJ","ELSLOO FR",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13SP00",NA,"Noord-Holland",41375,"13SP","Openbare Basisschool 't Kraaienest","Laan van Blois","193","1943 MH","BEVERWIJK",375,"BEVERWIJK","Openbaar",251223467,"                                                                                ","Laan van Blois","193","1943 MH","BEVERWIJK",42,"Velsen",20,"Zuidelijk Noord-Holland",25,"West-Kennemerland",20,"IJmond",15,"Zuid-Noord-Holland",25,"West-Kennemerland"
"13SQ00",NA,"Gelderland",41345,"13SQ","Openbare Basisschool Zuuk","Zuukerend","9","8161 RJ","EPE",232,"EPE","Openbaar",578612844,"                                                                                ","Zuukerend","9","8161 RJ","EPE",27,"Apeldoorn",9,"Stedendriehoek",11,"Stedendriehoek",13,"Veluwe",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"13SX00","http://schoolloevestein.nl/wp-content/uploads/2017/09/Schoolgids-2017-2018-school-Loevestein.pdf","Friesland",41631,"13SX","School Loevestein","Berend Wapstrastrjitte","1-3","8401 NN","GORREDIJK",86,"OPSTERLAND","Openbaar",513461557,"www.schoolloevestein.nl","Berend Wapstrastrjitte","1-3","8401 NN","GORREDIJK",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13TD00",NA,"Gelderland",40470,"13TD","Rijdende School Prinses Margriet","Rijnstraat","74","4191 CM","GELDERMALSEN",236,"GELDERMALSEN","Algemeen bijzonder",345572651,"                                                                                ","Rijnstraat","74","4191 CM","GELDERMALSEN",33,"Culemborg",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",13,"Utrecht en omstreken",15,"Rivierenland"
"13TJ00","http://WWW.OPDEWIEKEN-TOLLEBEEK.NL/files/schoolgidsOpdeWieken20162017.pdf","Flevoland",52274,"13TJ","CBS Op de Wieken","Fazantendrift","2","8309 AM","TOLLEBEEK",171,"NOORDOOSTPOLDER","Protestants-Christelijk",527651489,"WWW.OPDEWIEKEN-TOLLEBEEK.NL","Fazantendrift","2","8309 AM","TOLLEBEEK",17,"Noordoostpolder",15,"Flevoland",18,"Flevoland",40,"Flevoland",5,"Zwolle-Meppel en omstreken",18,"Flevoland"
"13TN00",NA,"Noord-Brabant",40378,"13TN","Basisschool Karel de Grote","Mendelssohnlaan","217","5653 BB","EINDHOVEN",772,"EINDHOVEN","Protestants-Christelijk",402512628,"                                                                                ","Mendelssohnlaan","217","5653 BB","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"13TR00",NA,"Gelderland",40862,"13TR","Basisschool met de Bijbel De Akker","Jac Catsstraat","70-72","3881 XR","PUTTEN",273,"PUTTEN","Protestants-Christelijk",341353541,"                                                                                ","Jac Catsstraat","70-72","3881 XR","PUTTEN",28,"Harderwijk",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"13TT00",NA,"Drenthe",41629,"13TT","Openbare Basisschool de Tolter","Engelgaarde","33","7943 LD","MEPPEL",119,"MEPPEL","Openbaar",522260651,"                                                                                ","Engelgaarde","33","7943 LD","MEPPEL",15,"Meppel",5,"Zuid- en Midden-Drenthe",9,"Zuidwest-Drenthe",9,"Zuidwest-Drenthe",5,"Zwolle-Meppel en omstreken",9,"Zuid-West Drenthe"
"13TU00",NA,"Groningen",10925,"13TU","Willem Lodewijck","Willem Lodewijkstraat","19","9545 PA","BOURTANGE",48,"VLAGTWEDDE","Openbaar",599354448,"                                                                                ","Willem Lodewijkstraat","19","9545 PA","BOURTANGE",6,"Stadskanaal",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"13TY00","https://detweemasterhoogezand-live-2ae7189a8db-5f6b5a0.aldryn-media.com/files/detweemasterhoogezand/Schoolgids%202016-2017.pdf","Groningen",10426,"13TY","De Tweemaster","Aalbersestraat","2","9602 TC","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Openbaar",598320368,"www.detweemasterhoogezand.nl","Postbus","525","9600 AM","HOOGEZAND",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"13TY01",NA,"Groningen",10426,"13TY","o.b.s. De Schakel","Multatulistraat","28","9602 BB","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Openbaar",598322308,"www.deschakelhoogezand.nl","Postbus","524","9600 AM","HOOGEZAND",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"13UC00",NA,"Drenthe",11711,"13UC","Openbare Basisschool de Flint","J.P. Santeeweg","109","9312 TA","NIETAP",1699,"NOORDENVELD","Openbaar",594514649,"www.obsdeflint.nl","J.P. Santeeweg","109","9312 TA","NIETAP",1,"Groningen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",1,"Groningen en omstreken",7,"Noord- en Midden Drenthe"
"13UD00",NA,"Gelderland",41876,"13UD","Openbare Basisschool de Moespot","Wadensteinlaan","46-A","4003 TG","TIEL",281,"TIEL","Openbaar",344632698,"www.moespot.nl","Wadensteinlaan","46-A","4003 TG","TIEL",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"13UD01",NA,"Gelderland",41876,"13UD","Montessorischool","Dahliastraat","27","4001 EC","TIEL",281,"TIEL","Openbaar",344632815,"www.montessorischooltiel.nl","Dahliastraat","27","4001 EC","TIEL",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"13UE00","http://deblauweloper.nl/deblauweloper/media/Jeroen-Bosch/Bestanden/schoolgids_2016-2017.pdf","Noord-Holland",41364,"13UE","De Helix","Oosterweg Noord","41","1706 AA","HEERHUGOWAARD",398,"HEERHUGOWAARD","Openbaar",725714458,"www.obs-dehelix.nl","Oosterweg Noord","41","1706 AA","HEERHUGOWAARD",38,"Alkmaar",19,"Noord-Holland-Noord",24,"Noord-Kennemerland",19,"Alkmaar en omgeving",14,"Noord-Noord-Holland",24,"Noord-Kennemerland"
"13UL00",NA,"Drenthe",42557,"13UL","Apollo","Grote Beer","36","7904 LW","HOOGEVEEN",118,"HOOGEVEEN","Openbaar",528262616,"                                                                                ","Grote Beer","36","7904 LW","HOOGEVEEN",14,"Hoogeveen",5,"Zuid- en Midden-Drenthe",9,"Zuidwest-Drenthe",9,"Zuidwest-Drenthe",4,"Assen-Hoogeveen-Emmen",9,"Zuid-West Drenthe"
"13UO00","http://obs-noorderbreedte.nl/contentfiles/noorderbreedte/Document/30410/30410014.pdf","Groningen",41780,"13UO","Openbare Basisschool De Noorderbreedte","Meezenbroekstraat","90","9645 PK","VEENDAM",47,"VEENDAM","Openbaar",598613970,"www.obs-noorderbreedte.nl","Meezenbroekstraat","90","9645 PK","VEENDAM",4,"Veendam",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"13UP00",NA,"Friesland",41856,"13UP","Basisschool de Folefinne","Rydwei","3","9021 CT","EASTERWIERRUM",140,"LITTENSERADIEL","Openbaar",582501737,"                                                                                ","Rydwei","3","9021 CT","EASTERWIERRUM",10,"Leeuwarden",4,"Fryslân",5,"Zuidwest-Friesland",4,"Noord-Friesland",3,"Friesland",5,"Zuid-West Friesland"
"13UR00",NA,"Gelderland",42561,"13UR","Meester G. Propschool","Groenewegje","1","7241 HB","LOCHEM",262,"LOCHEM","Openbaar",573252430,"www.propschool.nl","Groenewegje","1","7241 HB","LOCHEM",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"13UV00","https://www.deoerstek.nl/upload/f9ac5271-fd2d-42a5-925b-1144b5297396.pdf","Friesland",41735,"13UV","De Oerstek","Pieter Hylkemastraat","6","9257 WE","NOARDBURGUM",737,"TYTSJERKSTERADIEL","Openbaar",511472210,"www.deoerstek.nl","Pieter Hylkemastraat","6","9257 WE","NOARDBURGUM",10,"Leeuwarden",4,"Fryslân",6,"Friesland-Oost",4,"Noord-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13UW00","http://obsdestriepe.nl/a/199/752199-52.pdf","Friesland",41631,"13UW","Basisschool de Striepe","Hoofdweg","193","8474 CE","OLDEHOLTPADE",98,"WESTSTELLINGWERF","Openbaar",561688500,"www.obsdestriepe.nl","Hoofdweg","193","8474 CE","OLDEHOLTPADE",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"13UX00","https://www.obs-piethein.nl/syndeo_data/media/Schoolgids_2017-2018_def.pdf","Noord-Holland",41580,"13UX","Openbare Basisschool Piet Hein","Dr. Schaepmanlaan","7","1182 GM","AMSTELVEEN",362,"AMSTELVEEN","Openbaar",206416065,"www.obs-piethein.nl","Dr. Schaepmanlaan","7","1182 GM","AMSTELVEEN",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"13VC00",NA,"Gelderland",41371,"13VC","Openbare Basisschool De Huet","Wolborgenmate","2","7006 DG","DOETINCHEM",222,"DOETINCHEM","Openbaar",314391160,"www.obsdehuet.nl","Wolborgenmate","2","7006 DG","DOETINCHEM",25,"Doetinchem",12,"Achterhoek",13,"Oost-Gelderland",14,"Achterhoek",8,"Zuidelijke Achterhoek",13,"Achterhoek"
"13WE00",NA,"Gelderland",41345,"13WE","OBS Gildeschool","Sint Crusiusweg","12","8161 HG","EPE",232,"EPE","Openbaar",578612932,"                                                                                ","Sint Crusiusweg","12","8161 HG","EPE",27,"Apeldoorn",9,"Stedendriehoek",11,"Stedendriehoek",13,"Veluwe",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"13WO00",NA,"Gelderland",40470,"13WO","Rijdende School Prinses Christina","Rijnstraat","74","4191 CM","GELDERMALSEN",236,"GELDERMALSEN","Algemeen bijzonder",345572651,"                                                                                ","Postbus","188","4190 CD","GELDERMALSEN",33,"Culemborg",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",13,"Utrecht en omstreken",15,"Rivierenland"
"13WR00","https://www.dekleinewereldnijmegen.nl/joseph_C01/UploadData/images/13/20/0/2017-2018-Schoolgids-De-Kleine-Wereld.pdf","Gelderland",47100,"13WR","Basisschool De Kleine Wereld","Newtonstraat","50","6533 KG","NIJMEGEN",268,"NIJMEGEN","Rooms-Katholiek",243553159,"www.dekleinewereldnijmegen.nl","Marie Curiestraat","9","6533 HV","NIJMEGEN",30,"Nijmegen",13,"Nijmegen",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",11,"Oostelijk Maas-Waalgebied",14,"Arnhem/Nijmegen"
"13WT00",NA,"Flevoland",52274,"13WT","CBS Klimop","Ring","11","8308 AL","NAGELE",171,"NOORDOOSTPOLDER","Protestants-Christelijk",527652546,"WWW. KLIMOP-NAGELE.NL","Postbus","1040","8300 BA","EMMELOORD",17,"Noordoostpolder",15,"Flevoland",18,"Flevoland",40,"Flevoland",5,"Zwolle-Meppel en omstreken",18,"Flevoland"
"13WU00","https://www.askoscholen.nl/scholen/deregenboog/Praktisch/PublishingImages/Paginas/Schoolgids/schoolgids%20mont%20de%20regenboog%202017-2018.pdf","Noord-Holland",41023,"13WU","Montessori Basisschool de Regenboog","Woudrichemstraat","3-5","1107 NE","AMSTERDAM",363,"AMSTERDAM","Rooms-Katholiek",206972176,"www.regenboogamsterdam.net","Woudrichemstraat","3-5","1107 NE","AMSTERDAM",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"13WW00",NA,"Noord-Brabant",74049,"13WW","Kindcentrum Westerbreedte","Jan Olieslagersstraat","51","5224 BD","'S-HERTOGENBOSCH",796,"S HERTOGENBOSCH","Rooms-Katholiek",738225210,"www.kcwesterbreedte.nl","Jan Olieslagersstraat","51","5224 BD","'S-HERTOGENBOSCH",69,"'s-Hertogenbosch",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"13XA00","http://www.bmdbhuinen.nl/image/26012.schoolgidshuinen2017-2018schoolgids.pdf","Gelderland",40667,"13XA","Basisschool met de Bijbel Huinen","Huinerschoolweg","5","3882 TJ","PUTTEN",273,"PUTTEN","Reformatorisch",341491221,"www.bmdbhuinen.nl","Huinerschoolweg","5","3882 TJ","PUTTEN",28,"Harderwijk",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"13XE00","http://obs-75nieuwbuinen.nl/images/schoolgids2017.2018.pdf","Drenthe",42554,"13XE","Nieuw Buinen 75","Zuiderdiep","3","9521 AA","NIEUW-BUINEN",1681,"BORGER-ODOORN","Openbaar",599212440,"www.obs-75nieuwbuinen.nl","Zuiderdiep","3","9521 AA","NIEUW-BUINEN",12,"Emmen",5,"Zuid- en Midden-Drenthe",8,"Zuidoost-Drenthe",8,"Zuidoost-Drenthe",4,"Assen-Hoogeveen-Emmen",8,"Zuid-Oost Drenthe"
"13XF00","https://meerwerf.nl/upload/wysiwyg/www/bestanden/Onderwijsgids-po-2015-2016-v2-definitief.pdf","Noord-Holland",41858,"13XF","De Kluft","Javastraat","23","1782 DA","DEN HELDER",400,"DEN HELDER","Openbaar",223613681,"www.meerwerf.nl","Postbus","454","1780 AL","DEN HELDER",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"13XF04","https://meerwerf.nl/upload/wysiwyg/www/bestanden/Onderwijsgids-po-2015-2016-v2-definitief.pdf","Noord-Holland",41858,"13XF","'t Tuselant","Duinroosstraat","2","1783 GK","DEN HELDER",400,"DEN HELDER","Openbaar",223614289,"www.meerwerf.nl","Postbus","2161","1780 BE","DEN HELDER",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"13XI00","http://www.hetruimteschip.nl/sites/default/files/bestanden/bestand/menu/schoolgids%202015-2016%20def.pdf","Groningen",10426,"13XI","Het Ruimteschip","Astronautenlaan","33","9602 EN","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Openbaar",598321376,"www.hetruimteschip.nl","Postbus","526","9600 AM","HOOGEZAND",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"13XJ00","http://www.hetvierspan.com/bestanden/387476/Schoolgids-2015-def-versie-17-nov.pdf","Noord-Holland",13662,"13XJ","Openbare Basisschool 't Vierspan","Kloosterpoort","3","1613 EV","GROOTEBROEK",532,"STEDE BROEC","Openbaar",228512200,"www.hetvierspan.com","Kloosterpoort","3","1613 EV","GROOTEBROEK",39,"Enkhuizen",19,"Noord-Holland-Noord",22,"Westfriesland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",22,"West-Friesland"
"13XM00","http://www.obs-roderwolde.nl/fileadmin/user_upload/schoolgids2016-2017.pdf","Drenthe",11711,"13XM","OBS Het Palet","Hoofdstraat","21-B","9315 PA","RODERWOLDE",1699,"NOORDENVELD","Openbaar",505033551,"www.obs-roderwolde.nl","Hoofdstraat","21-B","9315 PA","RODERWOLDE",1,"Groningen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",1,"Groningen en omstreken",7,"Noord- en Midden Drenthe"
"13XN00",NA,"Gelderland",41876,"13XN","Basisschool De Waayer","Kornoelje","1","4007 TP","TIEL",281,"TIEL","Openbaar",344632604,"www.obsdewaayer.nl","Kornoelje","1","4007 TP","TIEL",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"13XN01",NA,"Gelderland",41876,"13XN","De Waayer Wadenoijen","Dreef","1-D","4014 MJ","WADENOIJEN",281,"TIEL","Openbaar",344661527,"www.waayer-wadenoijen.nl","Dreef","1-D","4014 MJ","WADENOIJEN",31,"Tiel",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
