"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"24AD00","http://www.bs-vuurvlinder.nl/pages/../downloads/Saltoschool-DeVuurvlinder-Schoolgids-17-18.pdf","Noord-Brabant",41248,"24AD","12e Openbare Basisschool de Vuurvlinder","Opera","60-A","5629 NC","EINDHOVEN",772,"EINDHOVEN","Openbaar",402418144,"www.bs-vuurvlinder.nl","Opera","60-A","5629 NC","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"24AE00",NA,"Noord-Brabant",40517,"24AE","Rooms Katholieke Basisschool Lodijke","Ouderdinge","15","4617 NL","BERGEN OP ZOOM",748,"BERGEN OP ZOOM","Rooms-Katholiek",164252791,"www.lodijke.nl","Ouderdinge","15","4617 NL","BERGEN OP ZOOM",64,"Bergen op Zoom",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"24AF00",NA,"Noord-Brabant",41778,"24AF","Openbare Basisschool de Kreek","Hinkelenoord","14","4617 NC","BERGEN OP ZOOM",748,"BERGEN OP ZOOM","Openbaar",164234555,"www.obsdekreek.nl","Hinkelenoord","14","4617 NC","BERGEN OP ZOOM",64,"Bergen op Zoom",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"24AG00",NA,"Gelderland",41424,"24AG","Protestants Christelijke Basisschool Oranje Nassau","Watermolenpad","1","4105 XA","CULEMBORG",216,"CULEMBORG","Protestants-Christelijk",345531788,"                                                                                ","Watermolenpad","1","4105 XA","CULEMBORG",33,"Culemborg",14,"Rivierenland",15,"Rivierenland",16,"Zuidwest-Gelderland",13,"Utrecht en omstreken",15,"Rivierenland"
"24AM00","https://www.askoscholen.nl/scholen/mijlpaal/school/Documents/24AMschoolgidsB sept2017.pdf","Noord-Holland",41023,"24AM","Rooms Katholieke Basisschool de Mijlpaal","Westmallepad","11-A","1066 PP","AMSTERDAM",363,"AMSTERDAM","Rooms-Katholiek",206692488,"www.mijlpaal.eu","Anderlechtlaan","1","1066 HK","AMSTERDAM",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"24AN00","http://www.ratelaardeurne.nl/bestanden/457665/Schoolgids-2017-2018.pdf","Noord-Brabant",41223,"24AN","Jenaplanschool De Ratelaar","Romboutsstraat","2","5751 BW","DEURNE",762,"DEURNE","Algemeen bijzonder",493310801,"www.ratelaardeurne.nl","Romboutsstraat","2","5751 BW","DEURNE",74,"Helmond",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"24AY00",NA,"Noord-Brabant",41672,"24AY","ATO, basisschool Meander","Braspenninglaan","171","5237 NS","'S-HERTOGENBOSCH",796,"S HERTOGENBOSCH","Openbaar",736104533,"www.obsmeander.nl","Braspenninglaan","171","5237 NS","'S-HERTOGENBOSCH",69,"'s-Hertogenbosch",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"24AZ00",NA,"Noord-Brabant",74049,"24AZ","Rooms Katholieke Basisschool t Schrijverke","Patagonstraat","1","5237 NE","'S-HERTOGENBOSCH",796,"S HERTOGENBOSCH","Rooms-Katholiek",736421903,"                                                                                ","Patagonstraat","1","5237 NE","'S-HERTOGENBOSCH",69,"'s-Hertogenbosch",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"24BD00","http://www.kareleykmanschool.nl/images/downloads/schoolgidsnieuw/schoolgids1617.pdf","Noord-Holland",40020,"24BD","Karel Eykman School","Jane Addamslaan","13","1187 DA","AMSTELVEEN",362,"AMSTELVEEN","Protestants-Christelijk",206419998,"www.kareleykmanschool.nl","Jane Addamslaan","13","1187 DA","AMSTELVEEN",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"24BE00","https://www.obsdetoermalijn.nl/bestanden/456986/infogids-Toermalijn-17-18.pdf","Noord-Brabant",41869,"24BE","Openbare Basisschool De Toermalijn","Zuster Boomaarsstraat","4","4854 KE","BAVEL",758,"BREDA","Openbaar",161432987,"www.obsdetoermalijn.nl","Zuster Boomaarsstraat","4","4854 KE","BAVEL",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
