"VESTIGINGSNUMMER","url"
"03WE00","http://www.bsfranciscusbunde.nl/wp-content/uploads/2017/08/17-06-15-Schoolgids-2017-2018-definitief.pdf"
"03WF00",NA
"03WG00","http://www.basisschooldewegwijzer.nl/Schoolgids17-18.pdf"
"03WH00","http://www.antonius-kortenhoef.nl/praktijk/SiteAssets/Paginas/Schoolgids/AT%20Scholen%20Schoolgids%20St.%20Antoniusschool_v5.pdf"
"03WI00",NA
"03WK00","http://www.julianaschoolfijnaart.nl/wordpress/wp-content/uploads/2014/01/Schoolgids-Juliana-2017-2018.pdf"
"03WL00","http://www.dediamant.eu/bestanden/458006/Schoolgids-2017-2018.pdf"
"03WL01",NA
"03WM00",NA
"03WN00",NA
"03WT00","http://www.kleineakkers.nl/wp-content/uploads/2018/01/KINDCENTRUMGIDS-De-Kleine-Akkers-2017-2018.pdf"
"03WU00","http://www.cbsdewegwijzer.com/Portals/0/School/Schoolgids%20CBS%20De%20Wegwijzer%202017-2018.pdf"
"03WV00","http://www.cbswegwijzer.nl/wp-content/uploads/2017/09/Schoolgids-2016-2020.pdf"
"03WX00","http://www.hetpalet.nl/bestanden/453993/schoolgids_1718.pdf"
"03WY00",NA
"03XA00","http://www.plechelmus-delutte.nl/Portals/24/docs/schoolgids-plan/Schoolplan%2015-19.pdf"
"03XB00","https://www.passendonderwijs.nl/wp-content/uploads/2013/08/Informatiegids-Passend-Onderwijs-2014.pdf"
"03XC00","http://www.de-wegwijzer.nl/upload/files/schoolgids-2016-2-17.pdf"
"03XE00",NA
"03XH00","http://bsalbatros.nl/wp-content/uploads/2015/12/Schoolgids-2017-2018-KBS-De-Albatros.pdf"
"03XI00","https://www.deopdracht.nl/wordpress2/wp-content/uploads/2015/12/Schoolgids-CBS-De-Opdracht-Algemeen-1.pdf"
"03XJ00",NA
"03XN00","https://www.dekwir.nl/bestanden/463624/Schoolgids-de-Kwir-2017-2018-def.pdf"
"03XO00","https://titusbrandsma.kerobei.nl/content/TitusBrandsma/docs/schoolgids_2015-2019.pdf"
"03XP00","http://www.merijntje.nl/docs/stukken/Bovenschoolse schoolgids 2017-2018.pdf"
"03XQ00",NA
"03XT00",NA
"03XV00","http://www.bspanorama.nl/Fluvius_C01/ShowDocument.asp?OriginCode=H&OriginComID=108&OriginModID=8277&OriginItemID=0&CustID=610&ComID=108&DocID=14&Download=true&Ext=.pdf"
"03XW00",NA
"03XX00",NA
"03XY00","https://tabijnvisserthooft-live-0ae7ba4e12bc4c-ad9fb56.aldryn-media.com/files/2170511-Schoolgids%20Visser%20't%20Hooft.pdf"
"03XZ00",NA
"03YB00",NA
"03YC00",NA
"03YG00",NA
"03YH00","https://www.mgrheyligers.nl/sites/default/files/Schoolgids%20MGR%20H%20SKOB%201718.pdf"
"03YI00",NA
"03YJ00","http://mobilecms.blob.core.windows.net/appfiles/app_1325/File/Schoolgids_2017-18_2.pdf"
"03YL00","https://www.triangel-leende.nl/-uploads/files/insite/schoolgids-triangel-2017-2018.pdf"
"03YM00","https://www.ludgerusschool.nl/uploads/downloads/SCHOOLGIDS_20172018%20deel%201.pdf"
"03YN00",NA
"03YO00",NA
"03YP00",NA
"03YW00","https://www.onderdelinde.nl/schoolgids.pdf"
"03YY00",NA
"03YZ00",NA
"03ZD00","http://www.haal-veluweplus.nl/plantage/wp-content/uploads/sites/74/2016/11/Schoolgids-2016-2017.pdf"
"03ZE00","http://www.devuurvogeldriebergen.nl/wp-content/uploads/2017/08/Vuurvogel_schoolgids17-18.pdf"
"03ZH00","http://www.ebenhaezerdrachten.nl/./Schoolgids 2017-2018 definitief.pdf"
"03ZJ00",NA
"03ZV00","https://www.basisschoolfutura.nl/wp-content/uploads/sites/51/2017/09/schoolgids-Basisschool-Futura-O4NT-NoorderBasis.pdf"
"04AA00","http://www.piekschool.eu/wp-content/uploads/2015/03/schoolgids-2017-2018-.pdf"
"04AJ00",NA
"04AJ01",NA
"04AM00",NA
"04AW00","http://www.nijegaast.nl/deklimbeam/wp-content/uploads/Schoolgids-De-Klimbeam-2017-2018-PDF.pdf"
"04AZ00","http://www.johannesschooltiel.nl/site/media/Schoolgids Johannesschool 14-15 sept.pdf"
"04BD00",NA
"04BK00",NA
"04BT00","http://www.vrijeschoolroermond.nl/site/downloads/schoolgids/Schoolgids 2017-2018.pdf"
"04CN00",NA
"04CT00",NA
"04DE00",NA
"04DE01",NA
"04DG00","http://www.definne-aldeboarn.nl/pam/custom/schoolgids-cbs-de-finne-2017-2018.pdf"
"04DT00",NA
"04DZ00","https://www.antoniusabt.nl/digidact_C02/UploadData/images/45/3448/0/AntoniusAbtGids_2017-2018.pdf"
"04EC00","http://www.rudolfsteinereducare.nl/files/Basisschool/Schoolgids%202017-2018.pdf"
"04ED00",NA
"04EV00",NA
"04FD00","https://www.denieuwekring.nl/images/Teksten/Schoolgids%20A5%202014-2015%20V_2014.pdf"
"04FE00","https://www.ikc-deverrekijker.nl/bestanden/458576/2017-2018-Schoolgids-De-Verrekijker.pdf"
"04FF00","http://www.cbderank.nl/wp-content/uploads/2014/02/Schoolgids-2016-2017.pdf"
"04FH00",NA
"04FJ00","http://www.kbs-hetkompas.nl/media/627753/schoolgids-kompas-2017-2018.pdf"
"04FJ01","http://www.athena-onderwijs.nl/media/634228/2017-09-11-schoolgids-2017-2018.pdf"
"04FQ00",NA
"04FT00",NA
"04FV00","https://www.stgerardus.nl/-uploads/files/insite/schoolgids-gerardus-2017-201811.pdf"
"04FX00","http://www.destrijene.nl/wp-content/uploads/2015/10/Schoolgids-de-Strijene2.pdf"
"04GB00","https://www.obsrembrandt.nl/syndeo_data/media/schooldocumenten/schoolgidsen/2016-17__Schoolgids_04GB.pdf"
"04GD00",NA
"04GE00","http://zwolsescholengids.nl/wp-content/uploads/2014/12/gids.pdf"
"04GF00","http://www.obsspringplank.nl/fileadmin/PDF/schoolgids/Schoolgids_2017-2018_Springplank_.pdf"
"04GK00","http://archipelschooldesprong.nl/wp-content/uploads/sites/13/2017/09/Sprong-schoolgids-2017-2018.pdf"
"04GX00","http://obselckerlyc.nl/wp-content/uploads/2016/02/Schoolgids-OBS-Elckerlyc-2017-2018-met-fotos.pdf"
"04HB00","http://www.obsdeluyster.nl/Portals/1475/NewsLetter/Info Verwijsindex voor nieuwsbrief en of schoolgids.pdf"
"04HC00","http://www.obsdewindhoek.nl/wp-content/uploads/2013/08/Schoolgids-De-Windhoek-2017-2018.pdf"
"04HD00",NA
